query,expected_source_family,top_1,top_2,top_3,gold_answer,answer_preview
How do I register a new company in Hong Kong?,hk_official,"{""source"": ""hk_official"", ""id"": ""hk-register-company"", ""score"": 1.1525, ""snippet"": ""Source: Companies Registry. Page: How to register a new company?. Category: register_company. Business stage: incorporation. Description: For details, please refer to the following information pamphlets Incorporation of a Local Limited Comp""}","{""source"": ""hk_official"", ""id"": ""hk-local-company-incorporation-faq"", ""score"": 1.1488, ""snippet"": ""Source: Companies Registry. Page: Incorporation. Category: faq. Business stage: incorporation. Description: Incorporation Note Re-domiciled companies will be regarded as companies incorporated in Hong Kong with effect from the date of re-do""}","{""source"": ""hk_official"", ""id"": ""hk-register-company"", ""score"": 0.3992, ""snippet"": ""Source: Companies Registry. Page: How to register a new company?. Category: register_company. Business stage: incorporation. Description: A company name that is the same as a name appearing in the index of company names kept by the Registra""}",Use the Hong Kong Companies Registry incorporation guidance and e-Services Portal to register a new company. The answer should cite official Companies Registry material.,"To register a new company in Hong Kong, you can start by visiting the Companies Registry's e-Services Portal (https://www.eservices.gov.hk/eng/regco/) to conduct a company name search and register your business. Ensure that your proposed company name does not infringe on others' intellectual property rights or already exist.  You'll need to pay the relevant fees, which can be found in the Price Guide To Main Services section of their website (https://www.eservices.gov.hk/eng/regco/registering_a_"
What is the BRN mapping after Hong Kong adopted the Unique Business Identifier?,hk_official,"{""source"": ""hk_official"", ""id"": ""hk-cr-home"", ""score"": 1.1521, ""snippet"": ""Source: Companies Registry. Page: Companies Registry. Category: official_overview. Business stage: overview. Description: After the full implementation of Unique Business Identifier (“UBI”) on 27 December 2023, Business Registration Number ""}","{""source"": ""hk_official"", ""id"": ""hk-local-company-incorporation-faq"", ""score"": 1.1034, ""snippet"": ""Source: Companies Registry. Page: Incorporation. Category: faq. Business stage: incorporation. Description: Will the Companies Registry issue a fresh Certificate of for companies incorporated on or before 27 December 2023 to evidence that t""}","{""source"": ""hk_official"", ""id"": ""hk-cr-home"", ""score"": 0.3805, ""snippet"": ""Source: Companies Registry. Page: Companies Registry. Category: official_overview. Business stage: overview. Description: Companies Registry Company Re⁃domiciliation Regime Application requirements and procedures e-Services Portal How to re""}",The Companies Registry guidance explains that BRN replaced former company numbers after UBI implementation and provides mapping lookup through e-Search services.,"After adopting the Unique Business Identifier (UBI), all former company numbers have been mapped to their corresponding 8-digit Business Registration Numbers (BRNs). This information can be found on the Companies Registry website, which provides a list for easy reference. This transition ensures that every company now uses BRN as its identification number instead of the previous Company Number."
What annual return does a local private company need to file in Hong Kong?,hk_official,"{""source"": ""hk_official"", ""id"": ""hk-cr-home"", ""score"": 1.1581, ""snippet"": ""Source: Companies Registry. Page: Companies Registry. Category: official_overview. Business stage: overview. Description: With a view to encouraging the wider use of the Registry’s electronic services, with effect from 1 October 2020, the f""}","{""source"": ""hk_official"", ""id"": ""hk-annual-return-private-company"", ""score"": 1.147, ""snippet"": ""Source: Companies Registry. Page: Local Private Company. Category: annual_return. Business stage: compliance. Description: For a private company, an annual registration fee of HK$105 is payable if the annual return is delivered within 42 da""}","{""source"": ""hk_official"", ""id"": ""hk-annual-return-private-company"", ""score"": 0.3984, ""snippet"": ""Source: Companies Registry. Page: Local Private Company. Category: annual_return. Business stage: compliance. Description: In addition, according to section 662 of the Companies Ordinance, if a company fails to comply with the provision, th""}",A local private company must deliver annual returns to the Registrar of Companies and should check the Companies Registry annual return guidance.,"A local private company in Hong Kong needs to file an annual return with the Registrar of Companies. This involves delivering an annual registration fee of HK$105 if the annual return is submitted within 42 days after the most recent anniversary of the date of incorporation or re-domiciliation. If not delivered on time, there are substantial higher fees ranging from HK$870 to HK$3,480 that must be paid for late returns. The company and every responsible person can face prosecution if they fail t"
How can I deregister a defunct solvent company in Hong Kong?,hk_official,"{""source"": ""hk_official"", ""id"": ""hk-deregister-company"", ""score"": 1.1308, ""snippet"": ""Source: Companies Registry. Page: How to deregister a defunct solvent company?. Category: deregister_company. Business stage: company_maintenance. Description: How to deregister a defunct solvent company? Deregistration of a defunct solvent""}","{""source"": ""hk_official"", ""id"": ""hk-deregister-company"", ""score"": 0.3869, ""snippet"": ""Source: Companies Registry. Page: How to deregister a defunct solvent company?. Category: deregister_company. Business stage: company_maintenance. Description: The company applying for deregistration must meet ALL the conditions mentioned i""}","{""source"": ""hk_official"", ""id"": ""hk-change-company-name"", ""score"": 1.0549, ""snippet"": ""Source: Companies Registry. Page: How to change a company name?. Category: change_company_name. Business stage: company_maintenance. Description: How to change a company name? Change of company name Change of name of a local limited company""}",Use official Companies Registry deregistration guidance for a defunct solvent company and follow the stated eligibility and filing procedure.,"To deregister a defunct solvent company in Hong Kong, you must first apply for a Notice of No Objection from the Commissioner of Inland Revenue. This application form is available on the website of the Inland Revenue Department. After obtaining this notice within three months, deliver all necessary documents either electronically through the e-Filing Services under the ""e-Services Portal"" or in hard copy to the Shroff on the 14th floor of the Queen's Building. Additionally, ensure that the compa"
How do I change a Hong Kong company name?,hk_official,"{""source"": ""hk_official"", ""id"": ""hk-change-company-name"", ""score"": 1.1788, ""snippet"": ""Source: Companies Registry. Page: How to change a company name?. Category: change_company_name. Business stage: company_maintenance. Description: How to change a company name? Change of company name Change of name of a local limited company""}","{""source"": ""hk_official"", ""id"": ""hk-change-company-name"", ""score"": 0.4034, ""snippet"": ""Source: Companies Registry. Page: How to change a company name?. Category: change_company_name. Business stage: company_maintenance. Description: Alteration of Corporate Name of a registered non-Hong Kong company Step 1 - Deliver documents ""}","{""source"": ""hk_official"", ""id"": ""hk-register-company"", ""score"": 1.1249, ""snippet"": ""Source: Companies Registry. Page: How to register a new company?. Category: register_company. Business stage: incorporation. Description: A company name that is the same as a name appearing in the index of company names kept by the Registra""}","The Companies Registry has official guidance on changing a company name, including the relevant company maintenance process.","To change a Hong Kong company name, follow these steps:  1. Choose a new name that adheres to the guidelines provided by the Registrar of Companies and conduct a search through e-Search Services or at the Government Offices to ensure it's not already in use. 2. Submit Form NN10 - Return of Alteration of Corporate Name for Registered Non-Hong Kong Company (or another relevant form if applicable) along with the required supporting documents, such as certificates of name change from the company’s p"
Where can I obtain Hong Kong company information from the registry?,hk_official,"{""source"": ""hk_official"", ""id"": ""hk-obtain-company-info"", ""score"": 1.1693, ""snippet"": ""Source: Companies Registry. Page: How to obtain company information?. Category: company_information. Business stage: company_search. Description: How to obtain company information? Public Search Services Search on Company Information We pro""}","{""source"": ""hk_official"", ""id"": ""hk-miscellaneous-faq"", ""score"": 1.1399, ""snippet"": ""Source: Companies Registry. Page: Business Registration & Miscellaneous. Category: faq. Business stage: business_registration. Description: The One-stop Company and Business Registration Service is a service jointly provided by the Companie""}","{""source"": ""hk_official"", ""id"": ""hk-miscellaneous-faq"", ""score"": 0.3949, ""snippet"": ""Source: Companies Registry. Page: Business Registration & Miscellaneous. Category: faq. Business stage: business_registration. Description: Business Registration & Miscellaneous Where can I obtain a copy of the Companies Ordinance? You can ""}",The Companies Registry provides company information search services through its official channels.,"You can obtain Hong Kong company information from the Companies Registry through e-Search services available at the e-Services Portal. This portal allows searches on company information and image records of documents registered in the Companies Register, including those under the Companies Ordinance, Limited Partnerships Ordinance, and others. For specific regulations like the Companies Ordinance, you can purchase a copy from the Publications Sales Section of the Information Services Department "
What should I plan before opening a retail store?,business_guide,"{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 1.1247, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: It doesn't need to be over the top, but your grand opening should be an event you take seriously when trying ""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.388, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: While finding employees who are qualified on paper is important, you also want to make sure that they are a p""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.3872, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: \""The global supply chain is changing rapidly,\"" said Lassow. \""Current trade uncertainty makes it difficult to ""}","A retail launch plan should cover target customers, location, products, staffing, suppliers, pricing, and operations.","Before opening a retail store, you should define your target audience and communicate how your products are unique to them. Identify the best location for your store where most of your potential customers will visit. Hire employees who fit with your brand's values to create strong customer impressions. Ensure you plan staffing needs by considering different job roles and budget considerations. Additionally, explore creative marketing strategies like sales, discounts, coupons, or loyalty programs"
How should a retailer manage inventory and supply chain?,business_guide,"{""source"": ""business_guide"", ""id"": ""bg-netsuite-retail-supply-chain"", ""score"": 1.0525, ""snippet"": ""Source: NetSuite. Guide: Retail Supply Chain Management Guide. Category: supply_chain_guide. Business stage: operations. Description: Retail supply chain management covers the operational flow from forecasting demand and sourcing materials ""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.9768, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: \""The global supply chain is changing rapidly,\"" said Lassow. \""Current trade uncertainty makes it difficult to ""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.3391, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: Small business owners face challenges, and it's important to consistently please customers despite those chal""}","Retail supply chain management includes demand forecasting, sourcing, inventory control, warehouse operations, fulfillment, and delivery.","Retailers need to manage their inventory and supply chain effectively by implementing strategies that focus on accurate demand planning, ensuring strong supplier relationships, and enhancing visibility across all operational processes. They should start with tools like NetSuite’s Retail Supply Chain Management Guide which emphasizes the importance of forecasting demand accurately, coordinating suppliers efficiently, and keeping a sharp eye on inventory levels to ensure they are in line with cust"
How do I write a business plan before launching a company?,business_guide,"{""source"": ""business_guide"", ""id"": ""bg-forbesadvisor-start-business"", ""score"": 1.0463, ""snippet"": ""Source: Forbes Advisor. Guide: How to Start a Business. Category: startup_guide. Business stage: planning. Description: This guide organizes business creation into stages such as research and planning, securing funding, registering the busi""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 1.0293, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: Other basic factors to consider include business funding and marketing ideas. Will you need to use business l""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.3499, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: Written by: Tom Anziano, Senior Writer Thomas Anziano is an advertising and marketing professional who has wo""}","A business plan should define the market, product, customers, operating model, and launch plan before execution.","To write a comprehensive business plan, you need to start by defining your unique selling proposition and the value you offer that sets you apart from competitors. This involves understanding your target market, their needs, and preferences.  Next, draft strategies for marketing and sales to effectively reach and engage your customers. Consider digital marketing channels like social media and SEO, as well as traditional methods based on customer habits.  Your plan should outline financial projec"
How do I choose a target market for a small business?,business_guide,"{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 1.0206, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: When choosing a business location , you want to meet your customers where they are. Find out where your targe""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.357, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: Marketing is an important part of building a successful retail store. Although you have a solid product, you ""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.3556, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: Small Business Financing Options That Bypass Traditional Banks More Related articles info@businessnewsdaily.c""}","Choosing a target market requires market research, customer segmentation, competitor analysis, and clear positioning.","When choosing a target market for a small retail store, consider your product and service offerings. Identify the demographics of your ideal customers such as age, income level, lifestyle, and geographical location. Analyze existing competitors to see where they are strong or weak in terms of price, quality, and customer service. Tailor your marketing strategies to resonate with this target audience by understanding their preferences and challenges. Establishing a solid point of comparison again"
