rank,score
Top 1,1.1525
Top 2,1.1488
Top 3,0.3992
Top 1,1.1521
Top 2,1.1034
Top 3,0.3805
Top 1,1.1581
Top 2,1.147
Top 3,0.3984
Top 1,1.1308
Top 2,0.3869
Top 3,1.0549
Top 1,1.1788
Top 2,0.4034
Top 3,1.1249
Top 1,1.1693
Top 2,1.1399
Top 3,0.3949
Top 1,1.0813
Top 2,1.0776
Top 3,1.0639
Top 1,1.1087
Top 2,1.1022
Top 3,0.3822
Top 1,1.1199
Top 2,1.0945
Top 3,0.367
Top 1,1.0923
Top 2,0.3639
Top 3,0.3598
Top 1,1.1617
Top 2,0.3975
Top 3,1.1187
Top 1,1.1142
Top 2,0.3899
Top 3,1.1065
Top 1,1.1247
Top 2,0.388
Top 3,0.3872
Top 1,1.0525
Top 2,0.9768
Top 3,0.3391
Top 1,1.0463
Top 2,1.0293
Top 3,0.3499
Top 1,1.0206
Top 2,0.357
Top 3,0.3556
Top 1,1.0332
Top 2,0.3578
Top 3,0.357
Top 1,0.9507
Top 2,0.9467
Top 3,0.326
Top 1,1.014
Top 2,0.9474
Top 3,0.331
Top 1,1.0406
Top 2,0.3497
Top 3,0.3471
Top 1,1.0757
Top 2,0.368
Top 3,0.3593
Top 1,1.0066
Top 2,0.9886
Top 3,0.3457
Top 1,1.0104
Top 2,0.3419
Top 3,0.3381
Top 1,1.0293
Top 2,0.9698
Top 3,0.3346
Top 1,0.9251
Top 2,0.9147
Top 3,0.9086
Top 1,0.9382
Top 2,0.9166
Top 3,0.9149
Top 1,0.8845
Top 2,0.8805
Top 3,0.8732
Top 1,0.8891
Top 2,0.8727
Top 3,0.8677
Top 1,0.9309
Top 2,0.9196
Top 3,0.9164
Top 1,0.9605
Top 2,0.9492
Top 3,0.9358
Top 1,0.9606
Top 2,0.9439
Top 3,0.9384
Top 1,0.905
Top 2,0.9036
Top 3,0.9016
Top 1,0.923
Top 2,0.9201
Top 3,0.9168
Top 1,0.947
Top 2,0.9436
Top 3,0.942
Top 1,0.9316
Top 2,0.8994
Top 3,0.8882
Top 1,0.9167
Top 2,0.9154
Top 3,0.9092
Top 1,0.7346
Top 2,0.7166
Top 3,0.7039
Top 1,0.7386
Top 2,0.7329
Top 3,0.7299
Top 1,0.6997
Top 2,0.6977
Top 3,0.6867
Top 1,0.7631
Top 2,0.7519
Top 3,0.7399
Top 1,0.7147
Top 2,0.688
Top 3,0.6879
Top 1,0.9188
Top 2,0.734
Top 3,0.7214
Top 1,0.7458
Top 2,0.7435
Top 3,0.7419
Top 1,0.7804
Top 2,0.7755
Top 3,0.765
Top 1,0.6933
Top 2,0.6809
Top 3,0.6698
Top 1,0.7138
Top 2,0.6997
Top 3,0.6973
Top 1,0.7857
Top 2,0.7703
Top 3,0.762
Top 1,0.7719
Top 2,0.7623
Top 3,0.7563
Top 1,1.1454
Top 2,1.1042
Top 3,1.0438
Top 1,1.1013
Top 2,0.3853
Top 3,1.0994
Top 1,1.1629
Top 2,0.3762
Top 3,0.3753
Top 1,1.0364
Top 2,0.3487
Top 3,0.9914
Top 1,1.1375
Top 2,1.1168
Top 3,0.3905
Top 1,1.0727
Top 2,0.3725
Top 3,0.3714
Top 1,0.7034
Top 2,0.6882
Top 3,0.6716
Top 1,1.0588
Top 2,1.0572
Top 3,0.3683
Top 1,1.0193
Top 2,0.3538
Top 3,0.6827
Top 1,1.1335
Top 2,1.0922
Top 3,1.0896
Top 1,1.0654
Top 2,0.3716
Top 3,0.37
Top 1,1.0931
Top 2,0.3807
Top 3,1.0692
Top 1,0.9985
Top 2,0.9567
Top 3,0.789
Top 1,0.9786
Top 2,0.3412
Top 3,0.3361
Top 1,0.9403
Top 2,0.3275
Top 3,0.3258
Top 1,0.9748
Top 2,0.9593
Top 3,0.3302
Top 1,1.0067
Top 2,0.3509
Top 3,0.3508
Top 1,0.7216
Top 2,0.7084
Top 3,0.7034
Top 1,0.9271
Top 2,0.9037
Top 3,0.3125
Top 1,0.9863
Top 2,0.344
Top 3,0.7833
Top 1,1.0649
Top 2,1.0558
Top 3,0.3686
Top 1,1.0727
Top 2,0.3746
Top 3,0.3669
Top 1,0.7208
Top 2,0.7191
Top 3,0.717
Top 1,1.0115
Top 2,0.9703
Top 3,0.3386
Top 1,0.8864
Top 2,0.8738
Top 3,0.8725
Top 1,0.9468
Top 2,0.9412
Top 3,0.9392
Top 1,0.8711
Top 2,0.8671
Top 3,0.8606
Top 1,0.9215
Top 2,0.9195
Top 3,0.9166
Top 1,0.9043
Top 2,0.879
Top 3,0.8662
Top 1,0.9264
Top 2,0.9262
Top 3,0.9055
Top 1,0.9342
Top 2,0.9231
Top 3,0.9188
Top 1,0.9006
Top 2,0.9004
Top 3,0.8952
Top 1,0.8993
Top 2,0.8964
Top 3,0.8964
Top 1,0.8008
Top 2,0.7799
Top 3,0.7757
Top 1,0.9116
Top 2,0.9029
Top 3,0.9009
Top 1,0.9602
Top 2,0.9525
Top 3,0.9379
Top 1,0.6794
Top 2,0.6661
Top 3,0.6647
Top 1,0.6971
Top 2,0.6868
Top 3,0.6803
Top 1,0.6982
Top 2,0.6804
Top 3,0.6631
Top 1,0.7309
Top 2,0.7135
Top 3,0.7135
Top 1,0.7342
Top 2,0.7239
Top 3,0.7059
Top 1,0.752
Top 2,0.7482
Top 3,0.7345
Top 1,0.7338
Top 2,0.7287
Top 3,0.7255
Top 1,1.0219
Top 2,0.3553
Top 3,0.3525
Top 1,0.7462
Top 2,0.7069
Top 3,0.7064
Top 1,0.7421
Top 2,0.7312
Top 3,0.7158
Top 1,0.7404
Top 2,0.7322
Top 3,0.7305
Top 1,0.7248
Top 2,0.7244
Top 3,0.721
