rank,keyword,score
1,agents,72.92260997814412
2,health,55.072697915932494
3,code,49.52090076838089
4,financial,47.698691979251564
5,sales,45.87520033661662
6,video,41.270466245246375
7,infrastructure,40.09067897309349
8,api,39.93970192736876
9,high,39.19387659819203
10,digital,38.99293120042945
11,manage,38.286898700420714
12,need,38.175897112242
13,design,37.71298553875613
14,access,37.58262850552308
15,scale,37.47504971144132
16,care,37.44194703713691
17,open,37.09865934398512
18,models,36.811072911016566
19,payments,36.34403441267781
20,healthcare,36.1655894551048
21,source,36.02854309493657
22,experience,35.574683380129855
23,web,35.371569623893095
24,insurance,34.8320604429312
25,quality,34.6840907190599
26,systems,34.59704022969509
27,learning,34.453304038347994
28,industry,33.838147765523736
29,support,33.38603040995869
30,process,33.32698394480949
31,agent,33.3204054967913
32,mission,32.89438543364466
33,cloud,32.51822746200394
34,marketplace,32.48832168644402
35,just,32.42956535925283
36,home,32.138962086731674
37,market,32.08958443284966
38,provides,31.766546221146058
39,provide,31.619551030674597
40,content,31.516561131563414
41,human,31.496108226222493
42,engineering,31.364057504255786
43,workflows,30.45475835210267
44,revenue,30.37121570291973
45,cost,30.365047067880212
46,research,30.36300525235991
47,social,30.23845126099832
48,email,30.15680218398904
49,native,29.95034739465579
50,global,29.832694938842216
51,open source,29.80896263815136
52,analytics,29.576863752553766
53,run,29.537052205560077
54,simple,29.443681082956594
55,security,29.40412186661871
56,operations,29.28667569125919
57,marketing,29.22115925738058
58,money,29.148208836692465
59,compliance,29.092822347914364
60,medical,28.814222213219207
61,allows,28.724559183478444
62,delivery,28.59301567345565
63,combinator,28.542881129130535
64,engineers,28.542526085916702
65,tech,28.47622422930007
66,search,28.201104274503997
67,including,28.125046636625807
68,leading,28.06843738339656
69,backed,27.7340621475258
70,labs,27.55015283677992
71,control,27.37868060089214
72,network,27.267842624219686
73,helping,27.183163120368036
74,minutes,26.84904221457126
75,production,26.50511313733965
76,capital,26.44191436674717
77,brands,26.35233738375758
78,voice,26.34437716099831
79,investors,26.31886683362689
80,enterprise,26.05923311617969
81,user,26.020883296030608
82,day,26.013168689736535
83,small,25.948425478469623
84,local,25.829268197878328
85,credit,25.794672939514523
86,india,25.310297034466235
87,employees,25.252772596180485
88,focus,25.22028681889122
89,intelligence,25.170437216957563
90,generation,25.16030957800744
91,applications,24.88752322941145
92,share,24.834691392643464
93,000,24.813297152513137
94,food,24.708873687444697
95,development,24.62543107727817
96,improve,24.5059920774099
97,patients,24.417595127328564
98,ve,24.411022639462292
99,builds,24.245229545853263
100,live,24.163588262024344
101,payment,23.971874436873474
102,automatically,23.939349094817143
103,complex,23.923073828031203
104,information,23.818428750410238
105,single,23.781917521502248
106,community,23.77293110318084
107,latam,23.618287483908155
108,saas,23.604989208946847
109,million,23.552994683624945
110,tasks,23.45757675478083
111,commerce,23.086575247560194
112,lets,22.858289984676208
113,want,22.780115687338807
114,sell,22.686596034521948
115,com,22.614969256600794
116,google,22.598999880971967
117,performance,22.573179937193938
118,insights,22.49514023001572
119,personalized,22.393361743716365
120,construction,22.322861869393314
121,designed,22.310578779325798
122,growing,22.272140026091655
123,existing,22.22723485094475
124,offers,22.137679469509617
