query,expected_topic_group,predicted_topic_group,predicted_topic_label,topic_correct,expected_source_family,source_rank,source_rr,relevant_id,relevant_rank,relevant_rr,relevant_ndcg_at_5,rouge_1,rouge_2,rouge_l,latency_ms,answer_mode
How do I register a new company in Hong Kong?,hk_compliance,hk_compliance,HK Company Registration & Compliance,True,hk_official,1,1.0,hk-register-company,1,1.0,1.0,0.1553398058252427,0.0784313725490196,0.1262135922330097,13079.06,generated_answer
What is the BRN mapping after Hong Kong adopted the Unique Business Identifier?,hk_compliance,hk_compliance,HK Company Registration & Compliance,True,hk_official,1,1.0,hk-cr-home,1,1.0,1.0,0.271604938271605,0.10126582278481011,0.14814814814814817,12.13,generated_answer
What annual return does a local private company need to file in Hong Kong?,hk_compliance,hk_compliance,HK Company Registration & Compliance,True,hk_official,1,1.0,hk-annual-return-private-company,2,0.5,0.6309297535714575,0.2807017543859649,0.125,0.21052631578947367,9.86,generated_answer
How can I deregister a defunct solvent company in Hong Kong?,hk_compliance,hk_compliance,HK Company Registration & Compliance,True,hk_official,1,1.0,hk-deregister-company,1,1.0,1.0,0.125,0.06349206349206349,0.09375,11.13,generated_answer
How do I change a Hong Kong company name?,hk_compliance,hk_compliance,HK Company Registration & Compliance,True,hk_official,1,1.0,hk-change-company-name,1,1.0,1.0,0.10638297872340426,0.02150537634408602,0.07446808510638298,10.79,generated_answer
Where can I obtain Hong Kong company information from the registry?,hk_compliance,hk_compliance,HK Company Registration & Compliance,True,hk_official,1,1.0,hk-obtain-company-info,1,1.0,1.0,0.1702127659574468,0.08695652173913042,0.1276595744680851,10.08,generated_answer
What should I plan before opening a retail store?,business_operations,business_operations,Business Operations & Planning,True,business_guide,1,1.0,bg-businessnewsdaily-open-retail-store,1,1.0,1.0,0.18348623853211007,0.018691588785046728,0.12844036697247707,11.09,generated_answer
How should a retailer manage inventory and supply chain?,business_operations,business_operations,Business Operations & Planning,True,business_guide,1,1.0,bg-netsuite-retail-supply-chain,1,1.0,1.0,0.07751937984496124,0.023437500000000003,0.0697674418604651,9.67,generated_answer
How do I write a business plan before launching a company?,business_operations,business_operations,Business Operations & Planning,True,business_guide,1,1.0,bg-forbesadvisor-start-business,1,1.0,1.0,0.10526315789473682,0.02127659574468085,0.09473684210526316,9.5,generated_answer
How do I choose a target market for a small business?,business_operations,business_operations,Business Operations & Planning,True,business_guide,1,1.0,bg-forbesadvisor-start-business,,0.0,0.0,0.12244897959183672,0.0625,0.12244897959183672,11.41,generated_answer
What pricing and competition questions should a new store ask?,business_operations,business_operations,Business Operations & Planning,True,business_guide,1,1.0,bg-businessnewsdaily-open-retail-store,1,1.0,1.0,0.13138686131386862,0.029629629629629624,0.11678832116788321,10.77,generated_answer
What operational risks should a retail founder watch in supply chain?,business_operations,business_operations,Business Operations & Planning,True,business_guide,1,1.0,bg-netsuite-retail-supply-chain,1,1.0,1.0,0.22727272727272727,0.09302325581395349,0.18181818181818182,10.16,generated_answer
Show me YC examples of companies in payments or credit.,startup_patterns,startup_patterns,payments / credit / payment,True,yc,1,1.0,payments / credit / payment,1,1.0,1.0,0.08695652173913045,0.014705882352941176,0.07246376811594202,9.81,generated_answer
Which YC companies are building healthcare or patient-care products?,startup_patterns,startup_patterns,healthcare / care / medical,True,yc,1,1.0,healthcare / care / medical,1,1.0,1.0,0.12658227848101267,0.0,0.10126582278481013,10.56,generated_answer
Find YC examples in education or student learning.,startup_patterns,startup_patterns,students / learning / education,True,yc,1,1.0,students / learning / education,1,1.0,1.0,0.1129032258064516,0.0,0.08064516129032258,10.66,generated_answer
What YC patterns appear in developer tools or APIs?,startup_patterns,startup_patterns,code / api / alternative,True,yc,1,1.0,code / api / alternative,2,0.5,0.6309297535714575,0.06818181818181818,0.0,0.05681818181818182,13.72,generated_answer
Which YC startups focus on marketplaces or commerce?,startup_patterns,startup_patterns,marketplace / brands / commerce,True,yc,1,1.0,marketplace / brands / commerce,1,1.0,1.0,0.09302325581395349,0.015748031496062992,0.09302325581395349,24.01,generated_answer
"Give YC examples for sales, CRM, or marketing automation.",startup_patterns,startup_patterns,marketing / leads / crm,True,yc,1,1.0,marketing / leads / crm,1,1.0,1.0,0.07499999999999998,0.0,0.05,9.81,generated_answer
What is the overall social media sentiment in the dataset?,social_sentiment,social_sentiment,Social Media Sentiment,True,sentiment,1,1.0,,,0.0,0.0,0.11976047904191617,0.024242424242424242,0.09580838323353294,11.1,generated_answer
What are people saying on Twitter and Instagram in the sentiment dataset?,social_sentiment,social_sentiment,Social Media Sentiment,True,sentiment,1,1.0,,,0.0,0.0,0.2222222222222222,0.1142857142857143,0.16666666666666666,11.19,generated_answer
Are online reviews or social media comments mostly positive or negative?,social_sentiment,social_sentiment,Social Media Sentiment,True,sentiment,1,1.0,,,0.0,0.0,0.13913043478260867,0.0,0.08695652173913043,10.57,generated_answer
Which hashtags are associated with positive social media sentiment?,social_sentiment,social_sentiment,Social Media Sentiment,True,sentiment,1,1.0,,,0.0,0.0,0.18181818181818182,0.0,0.12987012987012986,10.02,generated_answer
